,reviews,cleaned_reviews,sentiment_score
10,"Not Verified |  Beware! BA don't provide any refund due to a very serious medical reason. My father was diagnosed with a severe heart defect a couple of weeks before his flight date and BA refused to give any refund as this was not a good enough reason!! We sent them a medical note from his doctor saying he is unfit to travel due to potential heart failure and needs to have heart surgery as soon as possible, and the operator totally dismissed it. They said only thing they can do is change the travel date within a year. Heart surgery recovery takes months and it's highly unlikely that he will be able to travel within the year, meaning he would lose his ticket and money! They said they can't do anything to help, not even change the name on the ticket so someone else can use the tickets! The most ridiculous thing I've heard!",beware ba dont provide refund due serious medical reason father diagnosed severe heart defect couple weeks flight date ba refused give refund good enough reason sent medical note doctor saying unfit travel due potential heart failure needs heart surgery soon possible operator totally dismissed said thing change travel date within year heart surgery recovery takes months highly unlikely able travel within year meaning would lose ticket money said cant anything help even change name ticket someone else use tickets ridiculous thing ive heard,negative
11,"✅ Trip Verified |  Check in was chaotic and badly organised. Even though there were two desks, one for premium and one economy, there ended up being just one queue, in front of the premium check in, even though most passengers in it were economy. That meant that those travelling in club or with higher status had no separate queue to join. Whilst I was waiting in line another passenger went up to query and we ended up forming a new line in front of the economy check in desk for premium passengers, unnecessarily badly organised, the staff in charge should be retrained! Security at the airport was very quick and through to the lounge. This is a generic airport lounge for all airlines, and it is actually quite good overall. Nice layout and seating options, reasonable food and drink options, and an outdoor terrace which is really nice. Boarding was very well organised, although quite slow to get everyone on board.. but the flight was probably only half full and we still departed early so I think they felt no rush.. and it actually made the boarding experience nicer and more relaxed. On board the club Europe seats are fine by European business standards, although as previously commented are really not very good overall.. the meal service was disappointing. As is normal, BA do not stock enough of the proper meal option .. when the options are so limited and varied in quality BA really should stock enough for everyone to have the good meal. Sadly they had run out by the time they got to me so I had the option of vegetarian sausage or a salad. I wanted a hot meal so went for the sausage and I can honestly say it was one of the most disgusting onboard meals I’ve ever had in any cabin class, rolling some mush (similar consistency to mashed potato) into a sausage shape does not make it a sausage! BA you need to improve the meal options, make the vegetarian meal something you specifically have to request in advance and offer all passengers a choice of two decent meals .. then people will not be left with such a substandard alternative when their first choice runs out! Whilst I hadn’t planned on using it, the on board WiFi was not functioning so was not available to use. Overall though the flight was fairly comfortable and the cabin crew were very friendly and efficient. I used avios to pay for the flight so it was obviously good value for money for me!",check chaotic badly organised even though two desks one premium one economy ended one queue front premium check even though passengers economy meant travelling club higher status separate queue join whilst waiting line another passenger went query ended forming new line front economy check desk premium passengers unnecessarily badly organised staff charge retrained security airport quick lounge generic airport lounge airlines actually quite good overall nice layout seating options reasonable food drink options outdoor terrace really nice boarding well organised although quite slow get everyone board flight probably half full still departed early think felt rush actually made boarding experience nicer relaxed board club europe seats fine european business standards although previously commented really good overall meal service disappointing normal ba stock enough proper meal option  options limited varied quality ba really stock enough everyone good meal sadly run time got option vegetarian sausage salad wanted hot meal went sausage honestly say one disgusting onboard meals i’ve ever cabin class rolling mush similar consistency mashed potato sausage shape make sausage ba need improve meal options make vegetarian meal something specifically request advance offer passengers choice two decent meals  people left substandard alternative first choice runs whilst hadn’t planned using board wifi functioning available use overall though flight fairly comfortable cabin crew friendly efficient used avios pay flight obviously good value money,positive
12,"Not Verified | All 4 of our flights were fine in terms of comfort, punctuality and service. I feel safe with BA and that is my main reason for booking with them even though I could travel with other airlines more directly. On our return flight ATL/LHR we skipped the evening meal preferring to sleep and were looking forward to a hearty breakfast prior to arrival at LHR. Sadly we were seriously disappointed. To serve a chicken sausage in a wrap for a business class breakfast is just unacceptable. Does BA actually pay experts to design these breakfasts? Low point on an otherwise good trip.", flights fine terms comfort punctuality service feel safe ba main reason booking even though could travel airlines directly return flight atllhr skipped evening meal preferring sleep looking forward hearty breakfast prior arrival lhr sadly seriously disappointed serve chicken sausage wrap business class breakfast unacceptable ba actually pay experts design breakfasts low point otherwise good trip,positive
13,"cNot Verified |  I had hoped this would be a good review but unfortunately it won’t be. I flew business class from LHR to PDX on the BA nonstop. It was a 787–8 series aircraft. The flight attendant specifically mentioned it was eight years old as he recalled flying it when it was brand new. The business class seats were abysmal. My seat was at the window facing backwards. With the divider down, which had to be in that position for boarding, taxi, takeoff and landing, I was literally just a few feet away from the person in the aisle seat who was facing forward, We both couldn’t help but stare at one another. It couldn’t be avoided. It was horrible. The service wasn’t all that good either. The flight attendant did a pre-dinner drink. When she came back to ask for my choice for dinner, she said none of my selection were left. I was a little upset as nothing else appealed to me. She then came back later, and said the other part of the aircraft had more of the meal selection I wanted. I’m not sure why they didn’t coordinate that to begin with. I was NOT offered any wine or other drink with with dinner. The meal was put down in front of me and the flight attendant never came back other than to clear the tray. Overall, this flight was not very good. I flew over on American and back on BA and paid $6000 round-trip. I’d fly American again. My preferred carrier is United or Lufthansa. I’ll never fly BA again.",ci hoped would good review unfortunately won’t flew business class lhr pdx ba nonstop – series aircraft flight attendant specifically mentioned eight years old recalled flying brand new business class seats abysmal seat window facing backwards divider position boarding taxi takeoff landing literally feet away person aisle seat facing forward couldn’t help stare one another couldn’t avoided horrible service wasn’t good either flight attendant predinner drink came back ask choice dinner said none selection left little upset nothing else appealed came back later said part aircraft meal selection wanted i’m sure didn’t coordinate begin offered wine drink dinner meal put front flight attendant never came back clear tray overall flight good flew american back ba paid  roundtrip i’d fly american preferred carrier united lufthansa i’ll never fly ba,positive
14,"✅ Trip Verified |  I was going to fly to Frankfurt from Glasgow over London but the flight from London to Frankfurt was cancelled. This meant I had to stay overnight in London where I have no accommodation etc. As I was rebooked to a flight from London City airport which was more than 2h by train I had to get an uber and then take a hotel for £250 in total (London prices). I was reassured over the phone that I would get all the money back. My flight from London city airport was then cancelled again and rebooked to London Heathrow but two days later. I then cancelled that flight and rebooked a new one with Lufthansa as I urgently had to get to work and needed the money. I never received the money back for the hotel, compensation for cancelled flight 1, compensation for cancelled flight 2, the extra food I had to pay for, the uber, or the actual cost of the flight. I was first transferred 3€ by British Airways. They stopped replying to me and told me the issue was ""weather conditions"" although other non-BA flights were going. I lost over £700 in total and never got compensated for the loss of a work day either. It just really feels like they don't care about people. Worst service/airline ever.",going fly frankfurt glasgow london flight london frankfurt cancelled meant stay overnight london accommodation etc rebooked flight london city airport h train get uber take hotel £ total london prices reassured phone would get money back flight london city airport cancelled rebooked london heathrow two days later cancelled flight rebooked new one lufthansa urgently get work needed money never received money back hotel compensation cancelled flight  compensation cancelled flight  extra food pay uber actual cost flight first transferred € british airways stopped replying told issue weather conditions although nonba flights going lost £ total never got compensated loss work day either really feels like dont care people worst serviceairline ever,positive
15,"✅ Trip Verified | Much better experience this time around. Flew CPT to LHR on a new A350. Checkin was efficient. I used the Bidvest lounge at CPT as it is better than BA's lounge. Boarding was speedy. The new business class club suites are very good. Slightly irritating to be directed to the wrong seat (1A instead of 1K) which meant that after settling in the passenger in 1A showed up. We arranged a seat switch. Second time in a row it has happened. Why can't BA staff memorise which side of the plane is which and get it right? Captain's announcement was short and on point. Welcome drink was served at the correct temperature i.e. cold (first time ever for me - previously BA has always served the welcome champagne warm). IFE system was good - everything worked as it should. Felt slightly cheap that business class passengers have to pay for wifi. I did not bother. Cocktail was good. The nuts came on a cheap plastic tray which was naff ... other airlines bring out something classier. A female flight attendant came to take my order and I asked for Rooibas panacotta and the chicken breast. She repeated back to me ""so you want a P and a C"". It was such a bizarre thing to say that I misheard. I thought she said ""so you want beef and sea""? Confusion reigned until she explained to me she had a checklist of passenger orders and they abbreviate to first letters so she was saying ""P"" for panacotta and ""C"" for chicken. But how bizarre to repeat back an order to a passenger in code. Why not just say, ""so to confirm panacotta to start and chicken as your main dish"", like every other restaurant / airline does in the world? The internal coding of food ordering is exactly that - internal. She even looked irritated at me that I did not understand her jargon first time. The food, when it came, was excellent. Much much better than recent flights. I read somewhere that BA changed caterer. If so, it shows. The panacotta was superb as was the chicken ... good restaurant quality. The wine was OK to good but definitely not good to excellent. I feel that while the food has got better in BA business class, the wines have got worse. Certainly compared to Air France which I have also flown recently. The wine was brought out on time (not afer I finished eating as it was lass time I flew BA business). Cheese was also good and not teeth crackingly cold as last time. I had a good night's sleep. Plenty of snacks out if you wanted them (and they did not run out). Breakfast was excellent and the coffee was hot (previously it has been lukewarm). So all in all a vastly improved service offering. The staff seemed rushed off their feet ... it would not hurt to have an extra flight attendant to look after so many business class seats. Overall summary: vastly improved passenger proposition. It would be 10/10 but I deduct a point for showing me to the wrong seat and another point for the bizarre interaction with the female flight attendant who repeated my food order back to me using internal jargon codes.",much better experience time around flew cpt lhr new checkin efficient used bidvest lounge cpt better bas lounge boarding speedy new business class club suites good slightly irritating directed wrong seat instead k meant settling passenger showed arranged seat switch second time row happened cant ba staff memorise side plane get right captains announcement short point welcome drink served correct temperature ie cold first time ever  previously ba always served welcome champagne warm ife system good  everything worked felt slightly cheap business class passengers pay wifi bother cocktail good nuts came cheap plastic tray naff  airlines bring something classier female flight attendant came take order asked rooibas panacotta chicken breast repeated back want p c bizarre thing say misheard thought said want beef sea confusion reigned explained checklist passenger orders abbreviate first letters saying p panacotta c chicken bizarre repeat back order passenger code say confirm panacotta start chicken main dish like every restaurant  airline world internal coding food ordering exactly  internal even looked irritated understand jargon first time food came excellent much much better recent flights read somewhere ba changed caterer shows panacotta superb chicken  good restaurant quality wine ok good definitely good excellent feel food got better ba business class wines got worse certainly compared air france also flown recently wine brought time afer finished eating lass time flew ba business cheese also good teeth crackingly cold last time good nights sleep plenty snacks wanted run breakfast excellent coffee hot previously lukewarm vastly improved service offering staff seemed rushed feet  would hurt extra flight attendant look many business class seats overall summary vastly improved passenger proposition would  deduct point showing wrong seat another point bizarre interaction female flight attendant repeated food order back using internal jargon codes,positive
16,"✅ Trip Verified | Once again a terrible business class experience with BA. The flight was delayed by 4.5 hours, The plane was very old with problems with at least 4 of the seats in business class not cleaned properly prior to departure. Food was terrible as always with BA and only one choice available from advertised menu. As a result of the delay we missed our connecting flight from Heathrow and instead of putting us on the next connection they chose the second last flight of the day - which was also delayed by over an hour meaning we had an additional 4 hour delay whilst at Heathrow. At no point were we advised about our compensation rights (despite asking at check in and connections) or provided any vouchers during the delays. Having flown Etihad, Qatar and Virgin business class equivalents over the last year it is clear to see how big the gulf now is between BA and its rivals. ",terrible business class experience ba flight delayed  hours plane old problems least  seats business class cleaned properly prior departure food terrible always ba one choice available advertised menu result delay missed connecting flight heathrow instead putting us next connection chose second last flight day  also delayed hour meaning additional  hour delay whilst heathrow point advised compensation rights despite asking check connections provided vouchers delays flown etihad qatar virgin business class equivalents last year clear see big gulf ba rivals ,negative
17,"✅ Trip Verified |  BA A380's are showing their age, hopefully they will update the interiors soon because it was a let down especially when the flight lasts 11 hours. Cabin crew were good and helpful. Dinner was ok but the breakfast was grim. On board entertainment was not the latest and seat back USB points didn't work. The only upside of BA is that it is only 1 of 2 airlines who fly this route directly and their pricing reflects this, if you're prepared to lay over then there are better airlines out there.",ba showing age hopefully update interiors soon let especially flight lasts  hours cabin crew good helpful dinner ok breakfast grim board entertainment latest seat back usb points didnt work upside ba   airlines fly route directly pricing reflects youre prepared lay better airlines,positive
18,"✅ Trip Verified |   Credit to BA - Flew to Singapore recently and also back from Doha to London and both experiences were great. Service was fantastic as was the quality of the food, entertainment and was left feeling BA have got it together after a few previous below average experiences. You definitely notice the difference with the staff on BA - Far more approachable and outgoing compared to the cold and corporate middle eastern airline crews. Nice one BA for 2 great flights.",credit ba  flew singapore recently also back doha london experiences great service fantastic quality food entertainment left feeling ba got together previous average experiences definitely notice difference staff ba  far approachable outgoing compared cold corporate middle eastern airline crews nice one ba  great flights,positive
19,"✅ Trip Verified |   The check in area for premium classes at Gatwick is very nice, and there was no queue when I arrived so I was able to drop my bag very quickly. Premium security at Gatwick is fine. The flight was delayed due to NATS issues, but the member of staff on arriving at the lounge let me know of this. The lounge is nicevand it’ very comfortable. There was an excellent range of food and drinks. All the drinks you would expect. Food wise there were sandwiches, soup, pasta, salads, fruit, Spanish stew, as well as turkey and ham pies with mashed potato, roasted parsnips and carrots and gravy. It was all really good and particularly nice to see so many options. Boarding was pretty slow, although the gate crew did a good job to keep it well organised and allow priority passengers to board first. As has been well documented the onboard experience in terms of seat on ba Europe business is pretty poor, but in line with other European carriers sadly. That being said, the seat is well padded and comfortable and the adjustable headrest is quite good. The on board catering was of excellent quality. I was lucky to get my preferred option of the roast turkey, but several people sat near me weren’t as lucky. I do understand that meal options may run out but when the meal options are roast turkey with all the trimmings, vegetarian cottage pie or a chicken salad you really should be stocking enough for every passenger to get the proper meal  Or failing that, allow an order in advance service where you then only stock the meals that people want to eat. Whilst I fully support the desire to minimise waste, both food and cost, people really should really be able to get the ideal meal option. Unfortunately one of the people affected reacted very badly to this and took it out on the cabin crew which is unacceptable.. they also lost a bit of perspective about just how serious a situation it actually was! The cabin crew were  very nice, friendly and professional, if a little slow.. but not to the point of detracting from the positive experience I had. The ground service at Gran Canaria was pretty poor, priority bags clearly meant nothing. 95% of bags coming out were not priority, mine came out about halfway through bag delivery and demonstrates poor delivery of service and not  fulfilling on the service they promise to their customers. Overall though it was a very nice flight, and having paid for it using avios and £1 I cannot complain at all.",check area premium classes gatwick nice queue arrived able drop bag quickly premium security gatwick fine flight delayed due nats issues member staff arriving lounge let know lounge nicevand it’ comfortable excellent range food drinks drinks would expect food wise sandwiches soup pasta salads fruit spanish stew well turkey ham pies mashed potato roasted parsnips carrots gravy really good particularly nice see many options boarding pretty slow although gate crew good job keep well organised allow priority passengers board first well documented onboard experience terms seat ba europe business pretty poor line european carriers sadly said seat well padded comfortable adjustable headrest quite good board catering excellent quality lucky get preferred option roast turkey several people sat near weren’t lucky understand meal options may run meal options roast turkey trimmings vegetarian cottage pie chicken salad really stocking enough every passenger get proper meal  failing allow order advance service stock meals people want eat whilst fully support desire minimise waste food cost people really really able get ideal meal option unfortunately one people affected reacted badly took cabin crew unacceptable also lost bit perspective serious situation actually cabin crew  nice friendly professional little slow point detracting positive experience ground service gran canaria pretty poor priority bags clearly meant nothing  bags coming priority mine came halfway bag delivery demonstrates poor delivery service  fulfilling service promise customers overall though nice flight paid using avios £ cannot complain,positive
20,✅ Trip Verified |  The flight took off a little late due to Heathrow congestion but still landed on schedule. Boarding was smooth and the onboard service was efficient. A small snack was served for free with a bottle of water; additional items were available for purchase. The cabin and toilets were very clean. Overall an unremarkable flight but in a good way!,flight took little late due heathrow congestion still landed schedule boarding smooth onboard service efficient small snack served free bottle water additional items available purchase cabin toilets clean overall unremarkable flight good way,positive
21,"✅ Trip Verified | BA is great in the air! But... they sell you connections thru London Heathrow Terminal 5 (their private, BA-only terminal) which you are practically not able to make. 90 minutes stopover time, European flight inbound, transatlantic flight outbound, you arrive at the terminal gate ON TIME and... book, security! Endless line, slow process. Your boarding starts and you are nowhere near the X ray, and then.... it is a train ride withing the same terminal (but different, distant buildings). Almost impossible to make. Lots of stress.",ba great air sell connections thru london heathrow terminal  private baonly terminal practically able make  minutes stopover time european flight inbound transatlantic flight outbound arrive terminal gate time book security endless line slow process boarding starts nowhere near x ray train ride withing terminal different distant buildings almost impossible make lots stress,negative
